system,topic,score
Chal. 1,t_301,0.0622
Chal. 1,t_306,0.2434
Chal. 1,t_311,0.4225
Chal. 1,t_316,0.62
Chal. 1,t_321,0.3398
Chal. 1,t_326,0.6964
Chal. 1,t_331,0.2834
Chal. 1,t_336,0.0399
Chal. 1,t_341,0.4553
Chal. 1,t_346,0.0111
Chal. 1,t_351,0.6439
Chal. 1,t_356,0.0487
Chal. 1,t_361,0.6903
Chal. 1,t_366,0.4222
Chal. 1,t_371,0.0055
Chal. 1,t_376,0.0117
Chal. 1,t_381,0.0553
Chal. 1,t_386,0.0289
Chal. 1,t_391,0.1319
Chal. 1,t_396,0.4769
Chal. 1,t_401,0.0097
Chal. 1,t_406,0.4773
Chal. 1,t_411,0.2865
Chal. 1,t_416,0.3161
Chal. 1,t_421,0.0622
Chal. 1,t_426,0.0526
Chal. 1,t_431,0.5563
Chal. 1,t_436,0.0889
Chal. 1,t_441,0.6532
Chal. 1,t_446,0.355
Chal. 1,t_601,0.6403
Chal. 1,t_606,0.4284
Chal. 1,t_611,0.2841
Chal. 1,t_616,0.7317
Chal. 1,t_621,0.4081
Chal. 1,t_626,0.2578
Chal. 1,t_631,0.239
Chal. 1,t_636,0.3314
Chal. 1,t_641,0.5671
Chal. 1,t_646,0.1826
Chal. 1,t_651,0.0255
Chal. 1,t_656,0.571
Chal. 1,t_661,0.5908
Chal. 1,t_666,0.0155
Chal. 1,t_671,0.3022
Chal. 1,t_676,0.3024
Chal. 1,t_681,0.6655
Chal. 1,t_686,0.3748
Chal. 1,t_691,0.2654
Chal. 1,t_696,0.4119
Chal. 2,t_301,0.0613
Chal. 2,t_306,0.2431
Chal. 2,t_311,0.4328
Chal. 2,t_316,0.619
Chal. 2,t_321,0.3444
Chal. 2,t_326,0.6985
Chal. 2,t_331,0.3023
Chal. 2,t_336,0.0413
Chal. 2,t_341,0.4187
Chal. 2,t_346,0.0112
Chal. 2,t_351,0.6428
Chal. 2,t_356,0.0487
Chal. 2,t_361,0.6832
Chal. 2,t_366,0.4212
Chal. 2,t_371,0.0049
Chal. 2,t_376,0.0288
Chal. 2,t_381,0.0545
Chal. 2,t_386,0.029
Chal. 2,t_391,0.1183
Chal. 2,t_396,0.4797
Chal. 2,t_401,0.0099
Chal. 2,t_406,0.4772
Chal. 2,t_411,0.2865
Chal. 2,t_416,0.3136
Chal. 2,t_421,0.0641
Chal. 2,t_426,0.0525
Chal. 2,t_431,0.5564
Chal. 2,t_436,0.0903
Chal. 2,t_441,0.6576
Chal. 2,t_446,0.3092
Chal. 2,t_601,0.6403
Chal. 2,t_606,0.4314
Chal. 2,t_611,0.2853
Chal. 2,t_616,0.73
Chal. 2,t_621,0.4144
Chal. 2,t_626,0.2578
Chal. 2,t_631,0.2317
Chal. 2,t_636,0.3351
Chal. 2,t_641,0.5655
Chal. 2,t_646,0.1827
Chal. 2,t_651,0.027
Chal. 2,t_656,0.5591
Chal. 2,t_661,0.5895
Chal. 2,t_666,0.016
Chal. 2,t_671,0.302
Chal. 2,t_676,0.302
Chal. 2,t_681,0.6507
Chal. 2,t_686,0.3781
Chal. 2,t_691,0.282
Chal. 2,t_696,0.4095
Chal. 3,t_301,0.0447
Chal. 3,t_306,0.1887
Chal. 3,t_311,0.4596
Chal. 3,t_316,0.6172
Chal. 3,t_321,0.2991
Chal. 3,t_326,0.6046
Chal. 3,t_331,0.2247
Chal. 3,t_336,0.0964
Chal. 3,t_341,0.3091
Chal. 3,t_346,0.0303
Chal. 3,t_351,0.3427
Chal. 3,t_356,0.011
Chal. 3,t_361,0.4375
Chal. 3,t_366,0.2547
Chal. 3,t_371,0.0029
Chal. 3,t_376,0.0211
Chal. 3,t_381,0.0343
Chal. 3,t_386,0.0197
Chal. 3,t_391,0.0818
Chal. 3,t_396,0.3223
Chal. 3,t_401,0.0079
Chal. 3,t_406,0.3863
Chal. 3,t_411,0.2437
Chal. 3,t_416,0.3145
Chal. 3,t_421,0.0584
Chal. 3,t_426,0.0142
Chal. 3,t_431,0.4984
Chal. 3,t_436,0.0766
Chal. 3,t_441,0.6713
Chal. 3,t_446,0.1889
Chal. 3,t_601,0.4281
Chal. 3,t_606,0.3473
Chal. 3,t_611,0.2394
Chal. 3,t_616,0.6784
Chal. 3,t_621,0.4274
Chal. 3,t_626,0.2231
Chal. 3,t_631,0.2813
Chal. 3,t_636,0.3029
Chal. 3,t_641,0.2624
Chal. 3,t_646,0.227
Chal. 3,t_651,0.0378
Chal. 3,t_656,0.4536
Chal. 3,t_661,0.4744
Chal. 3,t_666,0.0174
Chal. 3,t_671,0.301
Chal. 3,t_676,0.2473
Chal. 3,t_681,0.5287
Chal. 3,t_686,0.3077
Chal. 3,t_691,0.282
Chal. 3,t_696,0.2637
Chal. 4,t_301,0.1892
Chal. 4,t_306,0.0868
Chal. 4,t_311,0.3231
Chal. 4,t_316,0.6509
Chal. 4,t_321,0.3393
Chal. 4,t_326,0.7258
Chal. 4,t_331,0.3582
Chal. 4,t_336,0.1964
Chal. 4,t_341,0.3564
Chal. 4,t_346,0.0592
Chal. 4,t_351,0.6042
Chal. 4,t_356,0.0651
Chal. 4,t_361,0.6205
Chal. 4,t_366,0.4838
Chal. 4,t_371,0.0788
Chal. 4,t_376,0.0428
Chal. 4,t_381,0.0555
Chal. 4,t_386,0.0421
Chal. 4,t_391,0.3718
Chal. 4,t_396,0.5302
Chal. 4,t_401,0.1308
Chal. 4,t_406,0.3815
Chal. 4,t_411,0.4413
Chal. 4,t_416,0.3742
Chal. 4,t_421,0.0318
Chal. 4,t_426,0.2603
Chal. 4,t_431,0.5291
Chal. 4,t_436,0.239
Chal. 4,t_441,0.6968
Chal. 4,t_446,0.3305
Chal. 4,t_601,0.705
Chal. 4,t_606,0.6534
Chal. 4,t_611,0.3261
Chal. 4,t_616,0.6871
Chal. 4,t_621,0.4922
Chal. 4,t_626,0.5367
Chal. 4,t_631,0.1695
Chal. 4,t_636,0.5987
Chal. 4,t_641,0.6357
Chal. 4,t_646,0.2804
Chal. 4,t_651,0.1931
Chal. 4,t_656,0.6297
Chal. 4,t_661,0.6734
Chal. 4,t_666,0.0191
Chal. 4,t_671,0.4661
Chal. 4,t_676,0.3569
Chal. 4,t_681,0.7125
Chal. 4,t_686,0.5384
Chal. 4,t_691,0.3956
Chal. 4,t_696,0.3268
Champion,t_301,0.0546
Champion,t_306,0.2091
Champion,t_311,0.4841
Champion,t_316,0.6207
Champion,t_321,0.2863
Champion,t_326,0.6163
Champion,t_331,0.1295
Champion,t_336,0.0458
Champion,t_341,0.339
Champion,t_346,0.0309
Champion,t_351,0.4395
Champion,t_356,0.0111
Champion,t_361,0.4263
Champion,t_366,0.4678
Champion,t_371,0.0029
Champion,t_376,0.0174
Champion,t_381,0.0563
Champion,t_386,0.0184
Champion,t_391,0.1134
Champion,t_396,0.3023
Champion,t_401,0.0056
Champion,t_406,0.3911
Champion,t_411,0.2613
Champion,t_416,0.3237
Champion,t_421,0.0477
Champion,t_426,0.0414
Champion,t_431,0.5494
Champion,t_436,0.0845
Champion,t_441,0.6598
Champion,t_446,0.1896
Champion,t_601,0.6496
Champion,t_606,0.332
Champion,t_611,0.2179
Champion,t_616,0.788
Champion,t_621,0.4059
Champion,t_626,0.2341
Champion,t_631,0.1781
Champion,t_636,0.2744
Champion,t_641,0.299
Champion,t_646,0.2107
Champion,t_651,0.0346
Champion,t_656,0.3783
Champion,t_661,0.5837
Champion,t_666,0.0125
Champion,t_671,0.325
Champion,t_676,0.2471
Champion,t_681,0.3462
Champion,t_686,0.348
Champion,t_691,0.293
Champion,t_696,0.3031
input.apl04rsTDNfw,t_301,0.3471
input.apl04rsTDNfw,t_306,0.0434
input.apl04rsTDNfw,t_311,0.4286
input.apl04rsTDNfw,t_316,0.6662
input.apl04rsTDNfw,t_321,0.1182
input.apl04rsTDNfw,t_326,0.7615
input.apl04rsTDNfw,t_331,0.3616
input.apl04rsTDNfw,t_336,0.0533
input.apl04rsTDNfw,t_341,0.5063
input.apl04rsTDNfw,t_346,0.051
input.apl04rsTDNfw,t_351,0.5048
input.apl04rsTDNfw,t_356,0.0425
input.apl04rsTDNfw,t_361,0.4903
input.apl04rsTDNfw,t_366,0.4255
input.apl04rsTDNfw,t_371,0.076
input.apl04rsTDNfw,t_376,0.0041
input.apl04rsTDNfw,t_381,0.0229
input.apl04rsTDNfw,t_386,0.0172
input.apl04rsTDNfw,t_391,0.4946
input.apl04rsTDNfw,t_396,0.5351
input.apl04rsTDNfw,t_401,0.03
input.apl04rsTDNfw,t_406,0.2975
input.apl04rsTDNfw,t_411,0.1944
input.apl04rsTDNfw,t_416,0.3967
input.apl04rsTDNfw,t_421,0.0132
input.apl04rsTDNfw,t_426,0.1025
input.apl04rsTDNfw,t_431,0.3647
input.apl04rsTDNfw,t_436,0.1377
input.apl04rsTDNfw,t_441,0.7118
input.apl04rsTDNfw,t_446,0.2299
input.apl04rsTDNfw,t_601,0.5864
input.apl04rsTDNfw,t_606,0.585
input.apl04rsTDNfw,t_611,0.3231
input.apl04rsTDNfw,t_616,0.7586
input.apl04rsTDNfw,t_621,0.7015
input.apl04rsTDNfw,t_626,0.0675
input.apl04rsTDNfw,t_631,0.369
input.apl04rsTDNfw,t_636,0.3864
input.apl04rsTDNfw,t_641,0.4788
input.apl04rsTDNfw,t_646,0.3418
input.apl04rsTDNfw,t_651,0.1939
input.apl04rsTDNfw,t_656,0.7034
input.apl04rsTDNfw,t_661,0.5469
input.apl04rsTDNfw,t_666,0.0405
input.apl04rsTDNfw,t_671,0.7063
input.apl04rsTDNfw,t_676,0.3039
input.apl04rsTDNfw,t_681,0.6065
input.apl04rsTDNfw,t_686,0.3908
input.apl04rsTDNfw,t_691,0.2813
input.apl04rsTDNfw,t_696,0.3603
input.fub04De,t_301,0.0221
input.fub04De,t_306,0.2313
input.fub04De,t_311,0.0639
input.fub04De,t_316,0.3863
input.fub04De,t_321,0.0405
input.fub04De,t_326,0.734
input.fub04De,t_331,0.0639
input.fub04De,t_336,0.0147
input.fub04De,t_341,0.2021
input.fub04De,t_346,0.0262
input.fub04De,t_351,0.5735
input.fub04De,t_356,0.045
input.fub04De,t_361,0.5219
input.fub04De,t_366,0.4217
input.fub04De,t_371,0.073
input.fub04De,t_376,1e-04
input.fub04De,t_381,0.0453
input.fub04De,t_386,0.0153
input.fub04De,t_391,0.4357
input.fub04De,t_396,0.4413
input.fub04De,t_401,0.004
input.fub04De,t_406,0.2777
input.fub04De,t_411,0.2742
input.fub04De,t_416,0.2734
input.fub04De,t_421,0.0182
input.fub04De,t_426,0.0457
input.fub04De,t_431,0.5169
input.fub04De,t_436,0.1297
input.fub04De,t_441,0.5953
input.fub04De,t_446,0.0182
input.fub04De,t_601,0.6301
input.fub04De,t_606,0.4124
input.fub04De,t_611,0.3369
input.fub04De,t_616,0.657
input.fub04De,t_621,0.4552
input.fub04De,t_626,0.6022
input.fub04De,t_631,0.3169
input.fub04De,t_636,0.3919
input.fub04De,t_641,0.5812
