system,topic,score
Chal. 1,t_321,0.2247
Chal. 1,t_336,0.5161
Chal. 1,t_341,0.4174
Chal. 1,t_347,0.0563
Chal. 1,t_350,0.0071
Chal. 1,t_362,0.3637
Chal. 1,t_363,0.4713
Chal. 1,t_367,0.1963
Chal. 1,t_375,0.6374
Chal. 1,t_378,0.1477
Chal. 1,t_393,0.0222
Chal. 1,t_397,0.681
Chal. 1,t_400,0.2077
Chal. 1,t_408,0.0683
Chal. 1,t_414,0.2047
Chal. 1,t_422,0.4357
Chal. 1,t_426,0.1813
Chal. 1,t_427,0.0206
Chal. 1,t_433,8e-04
Chal. 1,t_439,0.0355
Chal. 1,t_442,0.0527
Chal. 1,t_445,0.397
Chal. 1,t_626,0.4617
Chal. 1,t_646,0.1588
Chal. 1,t_690,0.0219
Chal. 1,t_801,0.1233
Chal. 1,t_802,0.6891
Chal. 1,t_803,0.305
Chal. 1,t_804,0.1763
Chal. 1,t_805,0.208
Chal. 1,t_806,0.6778
Chal. 1,t_807,0.9126
Chal. 1,t_808,0.2046
Chal. 1,t_809,0.6496
Chal. 1,t_810,0.2125
Chal. 1,t_811,0.7239
Chal. 1,t_812,0.2492
Chal. 1,t_813,0.0769
Chal. 1,t_814,0
Chal. 1,t_815,0.2648
Chal. 1,t_816,0.1381
Chal. 1,t_817,0.4111
Chal. 1,t_818,0.5084
Chal. 1,t_819,0.0845
Chal. 1,t_820,0.2888
Chal. 1,t_821,0.2385
Chal. 1,t_822,0.328
Chal. 1,t_823,0.4703
Chal. 1,t_824,0.6444
Chal. 1,t_825,0.4752
Chal. 2,t_321,0.225
Chal. 2,t_336,0.5172
Chal. 2,t_341,0.4133
Chal. 2,t_347,0.0563
Chal. 2,t_350,0.0076
Chal. 2,t_362,0.3672
Chal. 2,t_363,0.4702
Chal. 2,t_367,0.1969
Chal. 2,t_375,0.6358
Chal. 2,t_378,0.1478
Chal. 2,t_393,0.0222
Chal. 2,t_397,0.6815
Chal. 2,t_400,0.2141
Chal. 2,t_408,0.0682
Chal. 2,t_414,0.205
Chal. 2,t_422,0.3506
Chal. 2,t_426,0.2735
Chal. 2,t_427,0.0208
Chal. 2,t_433,8e-04
Chal. 2,t_439,0.0355
Chal. 2,t_442,0.0527
Chal. 2,t_445,0.3935
Chal. 2,t_626,0.4608
Chal. 2,t_646,0.1514
Chal. 2,t_690,0.0182
Chal. 2,t_801,0.1115
Chal. 2,t_802,0.6881
Chal. 2,t_803,0.3043
Chal. 2,t_804,0.1815
Chal. 2,t_805,0.2085
Chal. 2,t_806,0.6771
Chal. 2,t_807,0.9127
Chal. 2,t_808,0.2045
Chal. 2,t_809,0.6185
Chal. 2,t_810,0.2137
Chal. 2,t_811,0.7247
Chal. 2,t_812,0.2505
Chal. 2,t_813,0.0769
Chal. 2,t_814,0
Chal. 2,t_815,0.2834
